"parcel","owner_name","property_address","city","state","postal_code","signal_type","distress_stage","amount","event_date","case_number","record_url","notes"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2540828Z","","http://blog.grants.gov/","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2542272Z","","http://grants-gov.blogspot.com/","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2556280Z","","https://a.storyblok.grants.gov/f/21/25x25/bcb1256a6f/help-circle-sm.png","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2558183Z","","https://api.storyblok.grants.gov/v2","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2559232Z","","https://apply07.grants.gov","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2561516Z","","https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=HHS&subagency=ASFR&sdor=grants.gov","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2562527Z","","https://grants-portal.psc.gov/","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2563358Z","","https://micro.grants.gov","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2564089Z","","https://prod-grants-gov-chatbot.s3.amazonaws.com/","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2564825Z","","https://prod-grants-gov-chatbot.s3.amazonaws.com/ChatBootstrap2.js","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2565473Z","","https://simpler.grants.gov","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2566615Z","","https://www.grants.gov","grant/funding opportunity watch link"
